Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
VPTU2034350,20180319,0,HKHKG/UNK,OH,E,20180319,1,HKHKG/HIT,SF,F
VPTU2034350,20180319,1,HKHKG/HIT,SF,F,20180319,1549,HKHKG/HIT,LF,F
VPTU2034350,20180319,1549,HKHKG/HIT,LF,F,20180323,1706,HKHKG/HIT,VF,F
VPTU2034350,20180323,1706,HKHKG/HIT,VF,F,20180326,902,TWKHH/078,DF,F
VPTU2034350,20180326,902,TWKHH/078,DF,F,20180327,1649,TWKHH/118,OI,F
VPTU2034350,20180327,1649,TWKHH/118,OI,F,20180327,1704,TWKHH/118,LF,F
VPTU2034350,20180327,1704,TWKHH/118,LF,F,20180331,1229,TWKHH/118,VF,F
VPTU2034350,20180331,1229,TWKHH/118,VF,F,20180417,931,AEDXB/JAT,DF,F
VPTU2034350,20180417,931,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034350,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
VPTU2034350,20180422,1423,AEDXB/ITE,SF,E,20180422,1424,AEDXB/JAT,LF,F
VPTU2034350,20180422,1424,AEDXB/JAT,LF,F,20180429,332,AEDXB/JAT,VF,F
VPTU2034350,20180429,332,AEDXB/JAT,VF,F,20180503,947,IRBND/BCT,DF,F
VPTU2034350,20180503,947,IRBND/BCT,DF,F,20180705,2400,IRBND/BCT,FH,E
VPTU2034350,20180705,2400,IRBND/BCT,FH,E,20180705,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034406,20180320,0,HKHKG/UNK,OH,E,20180320,1,HKHKG/HIT,SF,F
VPTU2034406,20180320,1,HKHKG/HIT,SF,F,20180320,1128,HKHKG/HIT,LF,F
VPTU2034406,20180320,1128,HKHKG/HIT,LF,F,20180323,1659,HKHKG/HIT,VF,F
VPTU2034406,20180323,1659,HKHKG/HIT,VF,F,20180326,911,TWKHH/078,DF,F
VPTU2034406,20180326,911,TWKHH/078,DF,F,20180327,2008,TWKHH/118,OI,F
VPTU2034406,20180327,2008,TWKHH/118,OI,F,20180327,2025,TWKHH/118,LF,F
VPTU2034406,20180327,2025,TWKHH/118,LF,F,20180331,1414,TWKHH/118,VF,F
VPTU2034406,20180331,1414,TWKHH/118,VF,F,20180417,927,AEDXB/JAT,DF,F
VPTU2034406,20180417,927,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034406,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
VPTU2034406,20180422,1423,AEDXB/ITE,SF,E,20180422,1424,AEDXB/JAT,LF,F
VPTU2034406,20180422,1424,AEDXB/JAT,LF,F,20180429,332,AEDXB/JAT,VF,F
VPTU2034406,20180429,332,AEDXB/JAT,VF,F,20180503,947,IRBND/BCT,DF,F
VPTU2034406,20180503,947,IRBND/BCT,DF,F,20180705,2400,IRBND/BCT,FH,E
VPTU2034406,20180705,2400,IRBND/BCT,FH,E,20180705,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034411,20180320,0,HKHKG/UNK,OH,E,20180320,1,HKHKG/HIT,SF,F
VPTU2034411,20180320,1,HKHKG/HIT,SF,F,20180320,943,HKHKG/HIT,LF,F
VPTU2034411,20180320,943,HKHKG/HIT,LF,F,20180323,1706,HKHKG/HIT,VF,F
VPTU2034411,20180323,1706,HKHKG/HIT,VF,F,20180326,910,TWKHH/078,DF,F
VPTU2034411,20180326,910,TWKHH/078,DF,F,20180327,2110,TWKHH/118,OI,F
VPTU2034411,20180327,2110,TWKHH/118,OI,F,20180327,2122,TWKHH/118,LF,F
VPTU2034411,20180327,2122,TWKHH/118,LF,F,20180331,1229,TWKHH/118,VF,F
VPTU2034411,20180331,1229,TWKHH/118,VF,F,20180417,931,AEDXB/JAT,DF,F
VPTU2034411,20180417,931,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034411,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
VPTU2034411,20180422,1423,AEDXB/ITE,SF,E,20180422,1424,AEDXB/JAT,LF,F
VPTU2034411,20180422,1424,AEDXB/JAT,LF,F,20180429,349,AEDXB/JAT,VF,F
VPTU2034411,20180429,349,AEDXB/JAT,VF,F,20180503,947,IRBND/BCT,DF,F
VPTU2034411,20180503,947,IRBND/BCT,DF,F,20180705,2400,IRBND/BCT,FH,E
VPTU2034411,20180705,2400,IRBND/BCT,FH,E,20180705,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034509,20180105,1519,CNYTN/YTN,VF,F,20180120,1550,AEDXB/JAT,DF,F
VPTU2034509,20180120,1550,AEDXB/JAT,DF,F,20180124,2400,AEDXB/JAT,FH,E
,,,,,,,,,,
VPTU2034514,20180131,0,HKHKG/UNK,OH,E,20180131,1,HKHKG/HIT,SF,F
VPTU2034514,20180131,1,HKHKG/HIT,SF,F,20180131,1239,HKHKG/HIT,LF,F
VPTU2034514,20180131,1239,HKHKG/HIT,LF,F,20180202,2011,HKHKG/HIT,VF,F
VPTU2034514,20180202,2011,HKHKG/HIT,VF,F,20180203,1259,CNYTN/YTN,DF,F
VPTU2034514,20180203,1259,CNYTN/YTN,DF,F,20180214,304,CNYTN/YTN,VF,F
VPTU2034514,20180214,304,CNYTN/YTN,VF,F,20180303,140,AEDXB/JAT,DF,F
VPTU2034514,20180303,140,AEDXB/JAT,DF,F,20180308,935,AEDXB/JAT,CF,F
VPTU2034514,20180308,935,AEDXB/JAT,CF,F,20180308,936,AEDXB/ITE,SF,E
VPTU2034514,20180308,936,AEDXB/ITE,SF,E,20180308,937,AEDXB/JAT,LF,F
VPTU2034514,20180308,937,AEDXB/JAT,LF,F,20180313,1404,AEDXB/JAT,VF,F
VPTU2034514,20180313,1404,AEDXB/JAT,VF,F,20180316,18,IRBND/BCT,DF,F
VPTU2034514,20180316,18,IRBND/BCT,DF,F,20180422,2400,IRBND/BCT,FH,E
VPTU2034514,20180422,2400,IRBND/BCT,FH,E,20180422,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034520,20180319,0,HKHKG/UNK,OH,E,20180319,1,HKHKG/HIT,SF,F
VPTU2034520,20180319,1,HKHKG/HIT,SF,F,20180319,1328,HKHKG/HIT,LF,F
VPTU2034520,20180319,1328,HKHKG/HIT,LF,F,20180323,1707,HKHKG/HIT,VF,F
VPTU2034520,20180323,1707,HKHKG/HIT,VF,F,20180326,1316,TWKHH/078,DF,F
VPTU2034520,20180326,1316,TWKHH/078,DF,F,20180327,1800,TWKHH/118,OI,F
VPTU2034520,20180327,1800,TWKHH/118,OI,F,20180327,1835,TWKHH/118,LF,F
VPTU2034520,20180327,1835,TWKHH/118,LF,F,20180331,1224,TWKHH/118,VF,F
VPTU2034520,20180331,1224,TWKHH/118,VF,F,20180417,937,AEDXB/JAT,DF,F
VPTU2034520,20180417,937,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034520,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
VPTU2034520,20180422,1423,AEDXB/ITE,SF,E,20180422,1424,AEDXB/JAT,LF,F
VPTU2034520,20180422,1424,AEDXB/JAT,LF,F,20180429,349,AEDXB/JAT,VF,F
VPTU2034520,20180429,349,AEDXB/JAT,VF,F,20180503,947,IRBND/BCT,DF,F
VPTU2034520,20180503,947,IRBND/BCT,DF,F,20180705,2400,IRBND/BCT,FH,E
VPTU2034520,20180705,2400,IRBND/BCT,FH,E,20180705,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034535,20180319,0,HKHKG/UNK,OH,E,20180319,1,HKHKG/HIT,SF,F
VPTU2034535,20180319,1,HKHKG/HIT,SF,F,20180319,1334,HKHKG/HIT,LF,F
VPTU2034535,20180319,1334,HKHKG/HIT,LF,F,20180323,1708,HKHKG/HIT,VF,F
VPTU2034535,20180323,1708,HKHKG/HIT,VF,F,20180326,901,TWKHH/078,DF,F
VPTU2034535,20180326,901,TWKHH/078,DF,F,20180327,2138,TWKHH/118,OI,F
VPTU2034535,20180327,2138,TWKHH/118,OI,F,20180327,2151,TWKHH/118,LF,F
VPTU2034535,20180327,2151,TWKHH/118,LF,F,20180331,1224,TWKHH/118,VF,F
VPTU2034535,20180331,1224,TWKHH/118,VF,F,20180417,937,AEDXB/JAT,DF,F
VPTU2034535,20180417,937,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034535,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
VPTU2034535,20180422,1423,AEDXB/ITE,SF,E,20180422,1424,AEDXB/JAT,LF,F
VPTU2034535,20180422,1424,AEDXB/JAT,LF,F,20180429,418,AEDXB/JAT,VF,F
VPTU2034535,20180429,418,AEDXB/JAT,VF,F,20180503,947,IRBND/BCT,DF,F
VPTU2034535,20180503,947,IRBND/BCT,DF,F,20180705,2400,IRBND/BCT,FH,E
VPTU2034535,20180705,2400,IRBND/BCT,FH,E,20180705,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034540,20180416,0,HKHKG/UNK,OH,E,20180416,1,HKHKG/HIT,SF,F
VPTU2034540,20180416,1,HKHKG/HIT,SF,F,20180416,1041,HKHKG/HIT,LF,F
VPTU2034540,20180416,1041,HKHKG/HIT,LF,F,20180422,17,HKHKG/HIT,VF,F
VPTU2034540,20180422,17,HKHKG/HIT,VF,F,20180424,507,TWKHH/078,DF,F
VPTU2034540,20180424,507,TWKHH/078,DF,F,20180425,1755,TWKHH/118,OI,F
VPTU2034540,20180425,1755,TWKHH/118,OI,F,20180425,1828,TWKHH/118,LF,F
VPTU2034540,20180425,1828,TWKHH/118,LF,F,20180428,2123,TWKHH/118,VF,F
VPTU2034540,20180428,2123,TWKHH/118,VF,F,20180515,1455,AEDXB/JAT,DF,F
VPTU2034540,20180515,1455,AEDXB/JAT,DF,F,20180521,1333,AEDXB/JAT,CF,F
VPTU2034540,20180521,1333,AEDXB/JAT,CF,F,20180521,1334,AEDXB/ITE,SF,E
VPTU2034540,20180521,1334,AEDXB/ITE,SF,E,20180521,1335,AEDXB/JAT,LF,F
VPTU2034540,20180521,1335,AEDXB/JAT,LF,F,20180530,656,AEDXB/JAT,VF,F
VPTU2034540,20180530,656,AEDXB/JAT,VF,F,20180601,1045,IRBND/BCT,DF,F
VPTU2034540,20180601,1045,IRBND/BCT,DF,F,20180623,2400,IRBND/BCT,FH,E
VPTU2034540,20180623,2400,IRBND/BCT,FH,E,20180623,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034556,20180105,1519,CNYTN/YTN,VF,F,20180120,1550,AEDXB/JAT,DF,F
VPTU2034556,20180120,1550,AEDXB/JAT,DF,F,20180124,2400,AEDXB/JAT,FH,E
,,,,,,,,,,
VPTU2034561,20180105,1528,CNYTN/YTN,VF,F,20180120,1549,AEDXB/JAT,DF,F
VPTU2034561,20180120,1549,AEDXB/JAT,DF,F,20180124,2400,AEDXB/JAT,FH,E
,,,,,,,,,,
VPTU2034577,20180416,0,HKHKG/UNK,OH,E,20180416,1,HKHKG/HIT,SF,F
VPTU2034577,20180416,1,HKHKG/HIT,SF,F,20180416,1237,HKHKG/HIT,LF,F
VPTU2034577,20180416,1237,HKHKG/HIT,LF,F,20180421,2348,HKHKG/HIT,VF,F
VPTU2034577,20180421,2348,HKHKG/HIT,VF,F,20180424,456,TWKHH/078,DF,F
VPTU2034577,20180424,456,TWKHH/078,DF,F,20180425,1802,TWKHH/118,OI,F
VPTU2034577,20180425,1802,TWKHH/118,OI,F,20180425,1841,TWKHH/118,LF,F
VPTU2034577,20180425,1841,TWKHH/118,LF,F,20180428,2119,TWKHH/118,VF,F
VPTU2034577,20180428,2119,TWKHH/118,VF,F,20180515,1456,AEDXB/JAT,DF,F
VPTU2034577,20180515,1456,AEDXB/JAT,DF,F,20180521,1333,AEDXB/JAT,CF,F
VPTU2034577,20180521,1333,AEDXB/JAT,CF,F,20180521,1334,AEDXB/ITE,SF,E
VPTU2034577,20180521,1334,AEDXB/ITE,SF,E,20180521,1335,AEDXB/JAT,LF,F
VPTU2034577,20180521,1335,AEDXB/JAT,LF,F,20180530,705,AEDXB/JAT,VF,F
VPTU2034577,20180530,705,AEDXB/JAT,VF,F,20180601,1045,IRBND/BCT,DF,F
VPTU2034577,20180601,1045,IRBND/BCT,DF,F,20180623,2400,IRBND/BCT,FH,E
VPTU2034577,20180623,2400,IRBND/BCT,FH,E,20180623,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034582,20180105,1515,CNYTN/YTN,VF,F,20180120,1549,AEDXB/JAT,DF,F
VPTU2034582,20180120,1549,AEDXB/JAT,DF,F,20180124,2400,AEDXB/JAT,FH,E
,,,,,,,,,,
VPTU2034622,20180201,0,HKHKG/UNK,OH,E,20180201,1,HKHKG/HIT,SF,F
VPTU2034622,20180201,1,HKHKG/HIT,SF,F,20180201,1058,HKHKG/HIT,LF,F
VPTU2034622,20180201,1058,HKHKG/HIT,LF,F,20180202,2008,HKHKG/HIT,VF,F
VPTU2034622,20180202,2008,HKHKG/HIT,VF,F,20180203,1255,CNYTN/YTN,DF,F
VPTU2034622,20180203,1255,CNYTN/YTN,DF,F,20180214,259,CNYTN/YTN,VF,F
