Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
AIRU4136888,20180406,1420,KRPUS/HNC,TE,E,20180407,115,KRPUS/HNC,VE,E
AIRU4136888,20180407,115,KRPUS/HNC,VE,E,20180409,1200,CNNGB/BSC,TE,E
AIRU4136888,20180409,1200,CNNGB/BSC,TE,E,20180925,2400,CNNGB/UNK,FH,E
,,,,,,,,,,
AIRU4136912,20180206,0,KRPUS/UNK,OH,E,20180206,100,KRPUS/UNK,SF,E
AIRU4136912,20180206,100,KRPUS/UNK,SF,E,20180225,2137,KRPUS/PIC,LF,F
AIRU4136912,20180225,2137,KRPUS/PIC,LF,F,20180225,2209,KRPUS/PIC,VF,F
AIRU4136912,20180225,2209,KRPUS/PIC,VF,F,20180324,1303,USNYC/MST,DF,F
AIRU4136912,20180324,1303,USNYC/MST,DF,F,20180326,1541,USNYC/MST,CF,F
AIRU4136912,20180326,1541,USNYC/MST,CF,F,20180326,1542,USNYC/UNK,FH,E
,,,,,,,,,,
AIRU4136949,20180206,2400,TWTXG/TAI,FH,E,20180207,0,TWTXG/TAI,OH,E
AIRU4136949,20180207,0,TWTXG/TAI,OH,E,20180207,1,TWTXG/031,SF,F
AIRU4136949,20180207,1,TWTXG/031,SF,F,20180207,1641,TWTXG/031,TX,F
AIRU4136949,20180207,1641,TWTXG/031,TX,F,20180211,1000,TWKHH/078,OX,F
AIRU4136949,20180211,1000,TWKHH/078,OX,F,20180211,1329,TWKHH/078,LF,F
AIRU4136949,20180211,1329,TWKHH/078,LF,F,20180212,922,TWKHH/078,VF,F
AIRU4136949,20180212,922,TWKHH/078,VF,F,20180217,2350,KRPUS/HNC,DF,F
AIRU4136949,20180217,2350,KRPUS/HNC,DF,F,20180221,1019,KRPUS/HNC,CF,F
AIRU4136949,20180221,1019,KRPUS/HNC,CF,F,20180221,1029,KRPUS/UNK,FH,E
,,,,,,,,,,
AIRU4137333,20180125,0,KRPUS/UNK,OH,E,20180125,100,KRPUS/UNK,SF,E
AIRU4137333,20180125,100,KRPUS/UNK,SF,E,20180221,953,KRPUS/PIC,LF,F
AIRU4137333,20180221,953,KRPUS/PIC,LF,F,20180221,1013,KRPUS/PIC,VF,F
AIRU4137333,20180221,1013,KRPUS/PIC,VF,F,20180317,1708,USNYC/MST,DF,F
AIRU4137333,20180317,1708,USNYC/MST,DF,F,20180319,1447,USNYC/MST,CF,F
AIRU4137333,20180319,1447,USNYC/MST,CF,F,20180319,1448,USNYC/UNK,FH,E
AIRU4137333,20180319,1448,USNYC/UNK,FH,E,20181009,0,KRPUS/UNK,OH,E
AIRU4137333,20181009,0,KRPUS/UNK,OH,E,20181009,100,KRPUS/UNK,SF,E
AIRU4137333,20181009,100,KRPUS/UNK,SF,E,20181027,2242,KRPUS/HNC,LF,F
AIRU4137333,20181027,2242,KRPUS/HNC,LF,F,20181028,1115,KRPUS/HNC,VF,F
AIRU4137333,20181028,1115,KRPUS/HNC,VF,F,20181110,115,USLAX/APM,DF,F
AIRU4137333,20181110,115,USLAX/APM,DF,F,20181114,2020,USLAX/APM,CF,F
AIRU4137333,20181114,2020,USLAX/APM,CF,F,20181114,2021,USLAX/UNK,FH,E
,,,,,,,,,,
AIRU4138026,20180824,0,KRPUS/UNK,OH,E,20180824,100,KRPUS/UNK,SF,E
AIRU4138026,20180824,100,KRPUS/UNK,SF,E,20180911,513,KRPUS/HNC,LF,F
AIRU4138026,20180911,513,KRPUS/HNC,LF,F,20180911,1414,KRPUS/HNC,VF,F
AIRU4138026,20180911,1414,KRPUS/HNC,VF,F,20180914,2400,TWKHH/KAO,FH,E
AIRU4138026,20180914,2400,TWKHH/KAO,FH,E,20180914,247,TWKHH/118,DF,F
,,,,,,,,,,
AIRU4138047,20180206,0,KRPUS/UNK,OH,E,20180206,100,KRPUS/UNK,SF,E
AIRU4138047,20180206,100,KRPUS/UNK,SF,E,20180225,2137,KRPUS/PIC,LF,F
AIRU4138047,20180225,2137,KRPUS/PIC,LF,F,20180225,2209,KRPUS/PIC,VF,F
