Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
CBHU2825403,20181126,1432,SGSIN/PSA,TE,E,20181130,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2828110,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CBHU2828110,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CBHU2828110,20181114,1300,BDCGP/CPA,VE,E,20181120,713,SGSIN/PSA,TE,E
CBHU2828110,20181120,713,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2832697,20181129,0,BDCGP/CPA,OH,E,20181205,0,BDCGP/CPA,TE,E
CBHU2832697,20181205,0,BDCGP/CPA,TE,E,20181205,810,BDCGP/CPA,VE,E
CBHU2832697,20181205,810,BDCGP/CPA,VE,E,20181213,420,SGSIN/PSA,TE,E
CBHU2832697,20181213,420,SGSIN/PSA,TE,E,20181220,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2834597,20181114,0,BDCGP/CPA,OH,E,20181121,0,BDCGP/CPA,TE,E
CBHU2834597,20181121,0,BDCGP/CPA,TE,E,20181121,815,BDCGP/CPA,VE,E
CBHU2834597,20181121,815,BDCGP/CPA,VE,E,20181126,1427,SGSIN/PSA,TE,E
CBHU2834597,20181126,1427,SGSIN/PSA,TE,E,20181130,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2842205,20181129,0,BDCGP/CPA,OH,E,20181205,0,BDCGP/CPA,TE,E
CBHU2842205,20181205,0,BDCGP/CPA,TE,E,20181205,810,BDCGP/CPA,VE,E
CBHU2842205,20181205,810,BDCGP/CPA,VE,E,20181213,451,SGSIN/PSA,TE,E
CBHU2842205,20181213,451,SGSIN/PSA,TE,E,20181220,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2983760,20181213,0,BDCGP/CPA,OH,E,20181219,0,BDCGP/CPA,TE,E
CBHU2983760,20181219,0,BDCGP/CPA,TE,E,20181219,640,BDCGP/CPA,VE,E
CBHU2983760,20181219,640,BDCGP/CPA,VE,E,20181227,45,SGSIN/PSA,TE,E
CBHU2983760,20181227,45,SGSIN/PSA,TE,E,20181230,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2984529,20181129,0,BDCGP/CPA,OH,E,20181205,0,BDCGP/CPA,TE,E
CBHU2984529,20181205,0,BDCGP/CPA,TE,E,20181205,810,BDCGP/CPA,VE,E
CBHU2984529,20181205,810,BDCGP/CPA,VE,E,20181213,136,SGSIN/PSA,TE,E
CBHU2984529,20181213,136,SGSIN/PSA,TE,E,20181220,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CBHU2988885,20180911,0,BDCGP/CPA,OH,E,20180922,0,BDCGP/CPA,TE,E
CBHU2988885,20180922,0,BDCGP/CPA,TE,E,20180922,920,BDCGP/CPA,VE,E
CBHU2988885,20180922,920,BDCGP/CPA,VE,E,20180926,1649,SGSIN/PSA,TE,E
CBHU2988885,20180926,1649,SGSIN/PSA,TE,E,20181008,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CCLU8582527,20180911,0,BDCGP/CPA,OH,E,20180922,0,BDCGP/CPA,TE,E
CCLU8582527,20180922,0,BDCGP/CPA,TE,E,20180922,920,BDCGP/CPA,VE,E
CCLU8582527,20180922,920,BDCGP/CPA,VE,E,20180926,1648,SGSIN/PSA,TE,E
CCLU8582527,20180926,1648,SGSIN/PSA,TE,E,20181008,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CCLU8583821,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CCLU8583821,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CCLU8583821,20181114,1300,BDCGP/CPA,VE,E,20181120,439,SGSIN/PSA,TE,E
CCLU8583821,20181120,439,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CCLU8614389,20180911,0,BDCGP/CPA,OH,E,20180922,0,BDCGP/CPA,TE,E
CCLU8614389,20180922,0,BDCGP/CPA,TE,E,20180922,920,BDCGP/CPA,VE,E
CCLU8614389,20180922,920,BDCGP/CPA,VE,E,20180926,1638,SGSIN/PSA,TE,E
CCLU8614389,20180926,1638,SGSIN/PSA,TE,E,20181008,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CCLU8615723,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CCLU8615723,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CCLU8615723,20181114,1300,BDCGP/CPA,VE,E,20181120,1016,SGSIN/PSA,TE,E
CCLU8615723,20181120,1016,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CCLU8616247,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CCLU8616247,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CCLU8616247,20181114,1300,BDCGP/CPA,VE,E,20181120,956,SGSIN/PSA,TE,E
CCLU8616247,20181120,956,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CGMU4936069,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CGMU4936069,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CGMU4936069,20181114,1300,BDCGP/CPA,VE,E,20181120,107,SGSIN/PSA,TE,E
CGMU4936069,20181120,107,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CGMU5321048,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CGMU5321048,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CGMU5321048,20181114,1300,BDCGP/CPA,VE,E,20181120,105,SGSIN/PSA,TE,E
CGMU5321048,20181120,105,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CGMU9326032,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
CGMU9326032,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
CGMU9326032,20180909,850,BDCGP/CPA,VE,E,20180914,30,SGSIN/PSA,TE,E
CGMU9326032,20180914,30,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CHIU9040166,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
CHIU9040166,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
CHIU9040166,20180909,850,BDCGP/CPA,VE,E,20180914,102,SGSIN/PSA,TE,E
CHIU9040166,20180914,102,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CHIU9059515,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
CHIU9059515,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
CHIU9059515,20180909,850,BDCGP/CPA,VE,E,20180914,53,SGSIN/PSA,TE,E
CHIU9059515,20180914,53,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CPSU5126294,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
CPSU5126294,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
CPSU5126294,20180909,850,BDCGP/CPA,VE,E,20180914,4,SGSIN/PSA,TE,E
CPSU5126294,20180914,4,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CRLU1282039,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CRLU1282039,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CRLU1282039,20181114,1300,BDCGP/CPA,VE,E,20181120,252,SGSIN/PSA,TE,E
CRLU1282039,20181120,252,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CRLU1326651,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
CRLU1326651,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
CRLU1326651,20180909,850,BDCGP/CPA,VE,E,20180913,2258,SGSIN/PSA,TE,E
CRLU1326651,20180913,2258,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CRLU1600314,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
CRLU1600314,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
CRLU1600314,20181114,1300,BDCGP/CPA,VE,E,20181120,641,SGSIN/PSA,TE,E
CRLU1600314,20181120,641,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CRLU6204770,20181202,0,BDCGP/CPA,OH,E,20181207,0,BDCGP/CPA,TE,E
CRLU6204770,20181207,0,BDCGP/CPA,TE,E,20181207,930,BDCGP/CPA,VE,E
CRLU6204770,20181207,930,BDCGP/CPA,VE,E,20181211,1300,SGSIN/PSA,TE,E
CRLU6204770,20181211,1300,SGSIN/PSA,TE,E,20181220,2400,SGSIN/UNK,FH,E
